county_area_county_id,POINT_X,POINT_Y
628,218665.6569,3689202.071
629,353462.7825,3667901.377
630,279140.2832,3657177.781
631,357930.586,3494734.559
632,386229.1529,3702702.668
633,352535.0728,3659571.823
634,355800.2485,3651858.901
635,320816.4484,3503347.622
636,422061.7369,4030805.444
637,478728.2254,3812979.708
638,357908.4746,3657109.592
639,360333.9902,3661294.978
640,443739.7469,3958221.487
641,460115.6833,4066458.573
642,-272133.1019,2794050.525
643,-224676.4277,2790997.038
644,-342241.3426,2799642.241
645,-337550.4897,2834320.412
646,-297053.6279,2832929.689
647,-239340.7705,2899977.624
648,-208450.0811,2905040.326
649,-354745.4839,2893512.421
650,-276974.7052,2880189.104
651,44718.3723,2958606.078
652,92844.9773,2941754.317
653,12813.1239,2976057.665
654,-41026.6952,2952278.317
655,-146377.5865,2980525.135
656,-209814.2374,2957845.823
657,-249059.0004,2972618.161
658,-393983.9551,2995598.341
659,-282458.4174,2936306.228
660,-285123.7754,3009161.982
661,-19690.8416,2969452.522
662,-39948.169,2995636.451
663,-185112.3164,2998776.426
664,-230599.6783,3016424.888
665,-7613.247,3005060.346
666,11558.5751,3021592.305
667,-549464.3665,3045529.839
668,-97732.0389,3026503.643
669,-147013.1481,3036610.71
670,-325678.7696,3055527.64
671,37498.9823,3019985.712
672,26431.0193,3043523.713
673,-60481.9121,3048973.447
674,42905.3059,3056335.227
675,-30523.801,3038722.979
676,-216195.2794,3058888.598
677,-114032.4392,3060731.926
678,1882.318,3071847.444
679,-185311.2498,3058414.96
680,-184671.0035,3096254.908
681,-14764.9624,3087496.682
682,-98952.8926,3085640.512
683,-557909.1062,3163334.349
684,-65274.992,3106626.887
685,-154127.4685,3117260.762
686,-261081.5767,3089144.763
687,-310315.8695,3171414.295
688,-460127.7886,3170485.191
689,-4242.5541,3120313.643
690,-7382.7836,3102992.214
691,-91275.1842,3131868.411
692,-189549.0177,3126818.818
693,-228201.9436,3110369.67
694,-39770.0699,3126531.717
695,-365980.1473,3170799.692
696,-138542.83,3147220.803
697,-116157.1224,3128509.081
698,-226291.5921,3151834.581
699,-276132.9886,3147010.846
700,-20532.7068,3141705.407
701,-111889.3015,3152107.788
702,-187884.5938,3164896.503
703,-74691.4141,3169975.815
704,-120069.9754,3178519.384
705,-169531.3077,3187907.639
706,-231484.0633,3182867.767
707,-143642.5877,3199330.055
708,-167393.7667,3215760.646
709,-216961.6885,3237488.376
710,-359686.0293,3275765.801
711,-306784.7729,3284854.248
712,-187862.0484,3218780.987
713,165505.2896,3240033.191
714,-537807.3192,3304850.185
715,-238202.39,3301723.533
716,-444770.8472,3287930.939
717,-128252.5695,3245199.162
718,-152237.457,3244437.521
719,-161170.706,3303884.83
720,3100.9286,3296899.744
721,-84200.3801,3265905.696
722,-66934.7453,3284547.763
723,-105217.7865,3300863.902
724,103462.8729,3278462.315
725,79739.4972,3291101.306
726,85683.1261,3315805.574
727,35608.8569,3273305.777
728,-55808.8769,3303934.454
729,-405567.0552,3347714.531
730,186299.5561,3279634.173
731,133630.7715,3285294.729
732,44078.3958,3311498.241
733,141813.891,3334045.631
734,-19262.0805,3270890.679
735,-44464.1185,3319753.786
736,-129133.0454,3288849.822
737,-185886.1227,3350564.709
738,-299810.1093,3347687.194
739,-29896.9983,3331305.182
740,-366716.3407,3419898.717
741,-487724.9011,3411973.621
742,-59888.759,3350029.065
743,-82418.9578,3332991.686
744,-8242.0451,3343905.428
745,17190.5163,3357062.997
746,-69878.457,3392085.985
747,-128048.9355,3380660.969
748,-277685.4655,3402359.748
749,-444009.3397,3446764.495
750,97928.744,3346512.628
751,102148.548,3390263.956
752,46058.3775,3387114.293
753,217569.4905,3413915.207
754,161268.2559,3373293.55
755,201674.0342,3352950.614
756,-218416.8373,3481351.991
757,-181368.5742,3416399.667
758,-55941.5224,3446470.159
759,-136306.6164,3467417.146
760,11294.2246,3447877.125
761,87994.7492,3470843.782
762,73082.5857,3444214.812
763,169177.9626,3435501.876
764,-98427.73,3544945.892
765,-192627.4384,3586004.51
766,-24173.6516,3181629.275
767,1798.5315,3206506.434
768,-44861.3504,3215514.256
769,-91679.9931,3222750.799
770,-111584.1944,3220014.91
771,-37206.0391,3253168.534
772,-99866.2878,3250039.476
773,-112042.2737,3250867.577
774,-92385.725,3240603.092
775,-322475.6414,2795732.939
776,-176905.6485,2916286.988
777,-6564.3606,3047761.452
778,-507365.1993,3085806.019
779,-135839.9267,3099052.549
780,-150031.0849,3174157.71
781,160580.5249,3303202.277
782,235035.5039,3314963.856
783,-90659.1204,3305510.857
784,-7111.0783,3390697.158
785,128885.7436,3438798.168
786,-106061.5069,3266144.639
787,-90280.8549,3251847.129
788,-62550.3182,3260901.009
789,-115133.7876,3106464.857
790,117632.9397,3260420.266
791,77409.1123,3415187.034
792,-561421.8452,3419700.872
793,-108642.145,3200512.147
794,-81172.6107,3249603.036
795,-83980.7362,3239801.449
796,-39804.1228,3093170.367
797,-67064.3124,3239262.136
798,-458517.9996,3043872.385
799,23325.7939,3236457.67
800,-28511.883,3089052.87
801,-225938.5472,2848705.535
802,413908.2023,3280749.944
803,362627.1903,3295330.786
804,317113.9884,3320039.277
805,321606.6479,3256499.775
806,276343.956,3213728.76
807,256710.6393,3249396.496
808,77083.2852,3188420.5
809,125669.2693,3179608.577
810,313612.6772,3187624.348
811,313299.0565,3104620.69
812,269807.6863,3162851.003
813,223001.2855,3136304.858
814,203704.3889,3169062.964
815,166558.3568,3152157.438
816,142354.9598,3151144.646
817,130648.2368,3130759.791
818,113869.5239,3123459.662
819,98313.8917,3151421.646
820,83647.2024,3092804.906
821,70735.4663,3133005.13
822,48215.6497,3112148.396
823,368326.7504,3051344.971
824,356798.9814,3109084.153
825,259775.4387,3105247.886
826,208705.031,3077363.047
827,166052.6421,3047770.778
828,164766.2232,3098122.002
829,116913.1565,3073958.834
830,389401.5089,3011011.9
831,231270.0478,3203239.706
832,407105.4386,3349713.272
833,170285.2989,3132560.5
834,130532.8943,3108799.55
835,158812.5491,3121248.568
836,147264.9727,3122591.909
837,136771.5498,3104122.49
838,817326.2737,2734421.684
839,789415.5043,2718313.139
840,843456.9443,3896893.823
841,317786.3687,3452087.435
842,1006498.547,3391991.399
843,1039995.143,3228434.706
844,394873.4562,3437258.159
845,867683.4403,3150543.891
846,897857.5986,3884517.264
847,680147.4444,2634272.085
848,722120.9298,2675183.083
849,698616.7003,2710693.148
850,83706.8776,2605556.832
851,117143.2822,2640067.551
852,255892.3923,2687535.303
853,297412.6872,2658183.284
854,371288.9566,2712176.127
855,370502.8082,2836286.942
856,341537.0973,2855422.054
857,391370.2124,2881199.024
858,417721.0429,2903891.044
859,406788.4188,2922803.361
860,389820.4729,2959746.792
861,343614.5251,2953386.031
862,324962.6121,3005244.696
863,281686.8565,3025474.728
864,251552.8983,3055190.25
865,429846.2826,3005305.265
866,436392.0458,3039550.388
867,433253.7332,3094274.237
868,406426.3102,3115563.798
869,381751.9174,3149394.389
870,231644.7775,3011860.899
871,180479.4461,2986318.629
872,88339.6627,3003018.725
873,91686.9303,3041527.939
874,45341.854,3076988.611
875,538355.8235,4226684.83
876,736666.27,4356888.274
877,718850.2305,4330353.832
878,763553.1396,4379854.793
879,769610.8177,4308499.88
880,778030.9292,4264808.712
881,727645.3386,4240772.378
882,718692.5759,4191625.928
883,717033.5749,4129247.748
884,755817.3345,4089454.848
885,758007.609,4057246.514
886,735276.758,4030863.658
887,738276.4864,3995326.154
888,735442.4598,3948205.761
889,711485.9452,3969979.751
890,751276.5654,3904485.383
891,729670.1978,3883543.448
892,739568.1094,3843274.647
893,782160.7402,3883886.566
894,699744.8992,3815353.287
895,654795.7939,3806633.873
896,608631.1919,3780170.333
897,567721.4073,3766711.982
898,560791.4786,3743101.975
899,476484.6571,3652745.048
900,476510.9148,3691352.079
901,491519.687,3735951.393
902,502168.9147,3765337.485
903,508624.0014,3792707.262
904,506428.9447,3820142.993
905,525330.1242,3854420.845
906,504711.1041,3879648.8
907,491292.9474,3944346.502
908,501222.1758,3978629.889
909,509523.7291,4020834.041
910,507884.6912,4084023.552
911,519377.5673,4133334.729
912,522210.1821,4189538.542
913,-623425.4077,3550820.306
914,178318.2099,3500703.206
915,494958.2344,3599373.991
916,526092.8249,3570311.959
917,454327.8184,3568241.948
918,371991.2277,3559224.677
919,452457.5673,3489447.487
920,359605.7519,3430372.93
921,273789.1781,3346014.478
922,444513.7987,3410917.68
923,511880.6381,3364649.714
924,230840.1601,3492540.756
925,271109.8073,3293289.288
926,189357.8843,3202733.34
927,134278.1388,3235628.145
928,125224.6051,3212013.405
929,37287.7291,3171321.995
930,38003.8616,3218714.432
931,67538.8243,3226073.641
932,88425.6982,3250187.289
933,173680.4209,3218366.44
934,18743.4625,3133245.672
935,362672.07,3205138.232
936,430037.5756,3230518.369
937,466446.198,3247774.467
938,434582.3155,3168476.451
939,494956.6099,3175118.157
940,499065.5783,3277304.967
941,524998.5221,3212493.475
942,635965.5377,3204508.778
943,680626.553,3190942.417
944,716766.3532,3169480.365
945,796918.632,3199138.581
946,859513.2344,3124640.247
947,918950.6018,3166171.564
948,908753.5798,3102449.264
949,965947.6904,3201319.83
950,1107258.497,3217587.728
951,1054831.965,3189326.694
952,1077417.244,3195332.967
953,1130118.385,3153495.589
954,1175543.462,3194439.023
955,1293601.626,3238642.068
956,1285355.466,3074137.151
957,1239717.819,3093202.051
958,1234670.951,3038822.127
959,1183709.896,3041439.21
960,1175240.071,2992502.166
961,1170404.098,2935386.396
962,1130148.495,2914176.748
963,1121209.33,2873558.051
964,1127917.055,2823202.858
965,1094401.694,2776476.395
966,1077482.639,2728134.56
967,1074589.322,2660833.435
968,1018107.838,2645904.894
969,982227.4109,2636606.43
970,960257.9339,2643414.623
971,1001706.183,2695686.986
972,868389.9493,2713129.978
973,843851.2118,2753579.059
974,919267.6337,2731585.176
975,936834.751,2762210.09
976,929386.3559,2806727.045
977,902170.725,2836486.3
978,904882.4834,2874755.944
979,879843.9636,2900435.328
980,854630.0118,2931220.475
981,865142.377,2967745.748
982,906466.7317,3013459.787
983,905485.8512,3058971.493
984,968831.7269,2753398.724
985,921277.9815,2699339.396
986,1294985.437,3278696.626
987,1327508.173,3389577.043
988,1295479.779,3367270.038
989,1270500.451,3388509.919
990,1273093.032,3427405.999
991,1237139.193,3451892.399
